category,region,price,avg_price_category_region,supplier_id,supplier_name,supplier_win_count,days_to_tender,price_per_unit,supplier_years_active,supplier_total_contracts,supplier_avg_contract_value,is_suspicious
Строительство,Атырау,2996018,2276654,BIN130358350529,ТОО ТехИмпорт 798,4,10,4323.26,5,395,11306980,0
Канцелярия,Алматы,3582636,4308164,BIN598340090754,ТОО СнабKZ 419,5,1,4374.4,15,394,15188713,0
Медикаменты,Алматы,2200480,1588446,BIN699152804871,ТОО ТехИмпорт 852,5,10,2472.45,4,496,12924536,0
Канцелярия,Алматы,1349725,1111559,BIN547358255543,ТОО ПрофСтрой 484,2,8,1428.28,1,249,8579363,0
Медикаменты,Атырау,4770325,3231424,BIN552687982894,ТОО ТехИмпорт 640,11,7,11467.13,13,316,5967243,1
Канцелярия,Алматы,5181869,3324670,BIN153610837902,ТОО ПрофСтрой 837,11,4,6176.24,7,483,2256835,1
Строительство,Астана,6973546,4595647,BIN463637943893,ТОО АстанаСнаб 828,6,7,60116.78,12,400,18404953,0
Техника,Атырау,3257786,2345366,BIN831661210657,ТОО ЭкоПоставка 155,9,5,3267.59,5,48,8838219,0
Канцелярия,Алматы,1093990,1506031,BIN542482250071,ТОО СнабKZ 317,5,9,1236.15,7,311,8974427,0
Техника,Актобе,5595586,4148314,BIN311371228044,ТОО ЭкоПоставка 720,9,1,119055.02,5,314,18160532,0
Канцелярия,Атырау,3226378,3862004,BIN100648949961,ТОО ТехИмпорт 443,7,6,26230.72,10,291,15868372,0
Техника,Астана,3407420,2574393,BIN214473199950,ТОО ТехИмпорт 770,7,7,3594.32,6,144,8102991,0
Техника,Атырау,1730576,1321444,BIN314922049713,ТОО ПрофСтрой 254,14,5,2380.43,14,348,4577468,0
Строительство,Алматы,4754069,3648121,BIN889665843366,ТОО ПрофСтрой 865,6,10,9177.74,2,63,18500540,0
Медикаменты,Актобе,7194192,4921025,BIN661386465704,ТОО СнабKZ 346,10,6,21539.5,9,92,6494575,1
Строительство,Шымкент,1814562,2564200,BIN833734531150,ТОО СнабKZ 272,11,7,3391.7,7,293,16753234,0
Техника,Алматы,857483,634018,BIN714530076867,ТОО Медика 865,7,7,6351.73,12,452,16425291,0
Медикаменты,Алматы,2929509,2693916,BIN369069342642,ТОО Медика 16,4,7,5633.67,8,82,10179309,0
Канцелярия,Актобе,2407659,1939301,BIN191455825990,ТОО СнабKZ 641,8,2,4253.81,4,358,7153868,0
Техника,Актобе,775414,967995,BIN293011131131,ТОО СнабKZ 116,8,5,831.1,15,211,3590890,0
Техника,Актобе,775644,687616,BIN805430295517,ТОО СнабKZ 175,13,3,883.42,11,234,18362273,0
Техника,Астана,6338589,4882154,BIN796411682577,ТОО Медика 350,8,4,7692.46,14,221,15109367,0
Техника,Астана,1529843,1817985,BIN816478650355,ТОО СнабKZ 896,5,4,2999.69,11,320,5732902,0
Техника,Астана,1758064,2408993,BIN885148754144,ТОО ЭкоПоставка 136,2,8,2027.76,15,101,13035643,0
Продукты,Актобе,1489167,1074941,BIN445800953122,ТОО АстанаСнаб 249,5,10,2009.67,14,324,13791106,0
Медикаменты,Астана,1854082,2154508,BIN966711851879,ТОО СнабKZ 707,14,4,2153.41,1,57,3750664,0
Медикаменты,Атырау,2439313,3328832,BIN268189408281,ТОО ПрофСтрой 880,13,1,2787.79,5,30,1230195,1
Продукты,Актобе,5342377,3388330,BIN609013759503,ТОО ТехИмпорт 740,5,7,7298.33,10,146,14985860,0
Техника,Актобе,4017059,2780313,BIN109960699430,ТОО АстанаСнаб 191,13,8,4737.1,1,410,3653156,1
Техника,Астана,2357874,1502320,BIN250618997184,ТОО АстанаСнаб 634,10,2,2813.69,9,187,11717308,1
Продукты,Атырау,1925986,2091510,BIN837372948569,ТОО АстанаСнаб 172,10,2,4900.73,10,456,18341938,0
Медикаменты,Шымкент,3051354,1992486,BIN640982878550,ТОО СнабKZ 280,3,1,4467.58,1,77,9722134,1
Канцелярия,Атырау,4763321,4920220,BIN804276780378,ТОО АстанаСнаб 407,10,9,5837.4,5,352,17116029,0
Строительство,Астана,4854687,3872475,BIN703098317343,ТОО ПрофСтрой 550,13,7,7267.5,14,476,19851510,0
Строительство,Алматы,918336,603385,BIN947027084149,ТОО СнабKZ 932,9,10,10678.33,3,130,15394576,0
Строительство,Алматы,3006615,3363621,BIN819578601994,ТОО Медика 936,7,5,10261.48,5,255,6495805,0
Продукты,Атырау,7593072,4861683,BIN633601470933,ТОО СнабKZ 137,3,6,7811.8,2,338,2402890,0
Продукты,Атырау,4869588,4449918,BIN136915564616,ТОО АстанаСнаб 747,6,7,11819.39,15,402,8240321,0
Медикаменты,Актобе,5810956,4781400,BIN343593316091,ТОО ЭкоПоставка 183,5,10,10508.06,15,266,10124574,0
Канцелярия,Астана,6887390,4731072,BIN935515088578,ТОО ЭкоПоставка 407,14,7,22581.61,13,150,11102500,1
Канцелярия,Атырау,2678622,2969625,BIN701733406927,ТОО ЭкоПоставка 46,9,3,6243.87,9,155,5006189,0
Канцелярия,Атырау,1554573,1031196,BIN190166914262,ТОО СнабKZ 487,10,6,1780.73,12,14,14603512,1
Строительство,Алматы,4398886,2861502,BIN669982238053,ТОО ПрофСтрой 747,1,2,13170.32,8,277,5534387,0
Канцелярия,Атырау,3675730,2749656,BIN567244825769,ТОО АстанаСнаб 608,9,10,4868.52,5,79,1239012,0
Строительство,Шымкент,2263588,1592453,BIN220844470190,ТОО ЭкоПоставка 606,4,7,2743.74,12,60,18766774,0
Медикаменты,Алматы,3326112,4192239,BIN128153853357,ТОО Медика 201,7,9,6252.09,11,67,17267479,0
Медикаменты,Астана,4002045,3799086,BIN454803076651,ТОО Медика 407,7,4,142930.18,2,421,16059053,0
Техника,Атырау,6494778,4277705,BIN156325376438,ТОО Медика 819,1,2,12185.32,10,34,7727242,0
Медикаменты,Атырау,6094975,4824932,BIN345641161618,ТОО ТехИмпорт 296,6,3,22913.44,1,472,13786640,0
Строительство,Алматы,1155596,780626,BIN208824038526,ТОО ПрофСтрой 561,12,9,1235.93,14,170,16452455,1
Медикаменты,Астана,4274405,3139092,BIN694425046683,ТОО ПрофСтрой 90,13,4,8110.83,7,443,7373326,0
Продукты,Актобе,738324,826295,BIN535609132980,ТОО ПрофСтрой 276,9,8,751.09,7,72,7883646,0
Техника,Шымкент,3439322,3059822,BIN859376385013,ТОО ТехИмпорт 842,5,8,3477.58,8,384,15159164,0
Строительство,Атырау,3872437,4467773,BIN185259111011,ТОО ЭкоПоставка 898,10,1,33097.75,12,244,18089457,1
Канцелярия,Актобе,568314,560506,BIN817894060133,ТОО СнабKZ 610,4,10,611.09,6,487,2414691,0
Продукты,Астана,1524394,1030988,BIN470725884010,ТОО СнабKZ 12,14,8,6805.33,13,102,13736864,1
Канцелярия,Астана,4369111,4561113,BIN876704821406,ТОО ТехИмпорт 706,3,9,4541.7,4,337,5189376,0
Медикаменты,Шымкент,7712494,4992276,BIN858684158511,ТОО ПрофСтрой 468,3,4,10862.67,11,172,15854670,0
Медикаменты,Астана,2910606,2708233,BIN346707979471,ТОО СнабKZ 710,15,3,13729.27,14,371,5985304,0
Канцелярия,Атырау,4854558,4118632,BIN573299830805,ТОО ТехИмпорт 306,6,10,79582.92,7,471,4702333,0
Техника,Актобе,1093096,998335,BIN801729281854,ТОО СнабKZ 804,13,4,8097.01,11,33,10217380,0
Строительство,Астана,1163793,1130755,BIN483148328665,ТОО СнабKZ 265,13,7,30626.13,4,407,14026182,0
Техника,Шымкент,6948200,4444174,BIN881883829702,ТОО СнабKZ 805,11,3,27682.07,12,307,11301922,1
Продукты,Атырау,4310487,4680780,BIN553278105925,ТОО Медика 509,14,8,4546.93,1,396,18218608,1
Строительство,Атырау,4925760,3744680,BIN108863374681,ТОО ЭкоПоставка 260,2,7,46912.0,5,12,6552493,0
Техника,Атырау,812943,681286,BIN357395209610,ТОО ТехИмпорт 427,8,6,1300.71,14,325,11035767,0
Техника,Актобе,3305521,2123194,BIN730857512856,ТОО Медика 153,8,8,5093.25,13,468,13622714,0
Медикаменты,Актобе,1828754,2020472,BIN632205954952,ТОО АстанаСнаб 84,13,1,3147.6,15,249,4086757,1
Продукты,Атырау,902583,697693,BIN101224500559,ТОО СнабKZ 230,14,3,970.52,3,133,13556280,0
Техника,Атырау,4279276,4361510,BIN797482122539,ТОО СнабKZ 819,7,8,11660.15,5,386,14203074,0
Медикаменты,Шымкент,922094,921922,BIN183165192567,ТОО ПрофСтрой 341,5,8,1529.18,12,34,9771849,0
Канцелярия,Актобе,737611,635443,BIN560841597120,ТОО Медика 154,9,3,1037.43,14,76,9840464,0
Строительство,Актобе,6309987,4095118,BIN231859511194,ТОО АстанаСнаб 57,6,4,10954.84,6,294,8945642,0
Канцелярия,Астана,6334374,4305537,BIN845756807639,ТОО АстанаСнаб 842,7,6,15757.15,4,158,4214169,0
Строительство,Астана,1149160,1219017,BIN272014603767,ТОО АстанаСнаб 167,1,4,1460.18,6,72,13036248,0
Продукты,Атырау,5527897,4466592,BIN435582195299,ТОО АстанаСнаб 872,2,6,6317.6,4,204,5353083,0
Техника,Астана,3318847,3891346,BIN336416176045,ТОО СнабKZ 869,7,4,7939.83,1,44,7873440,0
Канцелярия,Актобе,5258687,3755836,BIN504001583001,ТОО ПрофСтрой 978,15,1,6656.57,8,167,3992944,1
